iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
174326,212084.13,-120.04,112.36,123.37,112.88,-104.42,-78.48,2.71,4.83,-6.57
174340,212084.13,-127.42,112.27,121.19,117.49,-92.64,-74.42,2.60,4.71,-6.80
174384,212084.13,-164.22,135.69,105.57,107.74,-97.95,-75.25,2.55,4.87,-5.41
174402,212084.13,-168.82,132.02,126.58,111.21,-83.18,-70.25,2.55,4.64,-7.07
175252,212084.13,-150.46,157.53,153.37,96.81,-84.58,-61.10,2.55,4.75,-4.89
178442,212084.13,-189.16,165.62,44.48,89.56,-100.77,-53.20,2.54,4.76,-5.16
179054,212084.13,-146.66,165.69,95.92,94.27,-97.89,-56.57,2.67,4.92,-5.65
179067,212084.13,-138.84,130.46,162.06,105.24,-79.44,-60.56,2.61,4.70,-6.73
179100,212084.13,-183.62,136.14,138.53,108.27,-77.75,-63.72,2.53,4.70,-6.43
179102,212084.13,-152.51,140.77,150.18,110.40,-78.55,-64.70,2.53,4.73,-7.02
179395,212084.13,-213.03,72.43,-119.28,66.17,-71.45,-56.47,2.44,4.96,-4.37
179643,212084.13,-182.75,93.08,-139.58,40.89,-82.54,-66.95,2.60,4.99,-5.02
181914,102492.33,-5.49,-10.03,0.48,149.63,-85.12,-16.26,6.48,4.08,-1.56
183067,212084.13,-174.38,164.85,106.32,99.55,-88.95,-66.83,2.65,4.77,-6.20
185103,221172.25,3.19,10.24,-0.18,-205.70,28.20,19.77,7.54,4.03,-1.60
185747,184902.54,7.22,7.90,-0.89,-150.59,83.34,13.52,6.39,4.09,-1.51
186119,212084.13,-211.48,161.24,26.36,86.74,-98.92,-60.54,2.18,4.89,-5.16
186193,212084.13,-223.02,142.04,-8.87,76.42,-84.33,-61.48,2.29,4.85,-4.73
187870,143568.89,2.42,9.97,-0.24,-186.39,21.65,37.95,6.78,4.06,-1.54
188827,212084.13,-203.64,158.38,36.92,83.31,-73.11,-71.07,2.29,4.89,-5.11
196845,212084.13,-157.64,101.60,171.67,118.88,-68.18,-60.56,2.26,4.92,-5.98
197199,212084.13,-166.28,104.68,150.09,115.19,-72.48,-60.23,2.37,4.94,-5.84
200051,212084.13,-177.32,128.75,133.31,112.28,-77.77,-70.09,2.56,4.71,-5.19
200299,212084.13,-148.73,106.02,138.58,118.75,-77.05,-71.06,2.43,4.78,-6.22
200359,212084.13,-154.11,107.87,125.49,122.58,-81.60,-79.57,2.48,4.81,-5.97
200382,212084.13,-158.04,110.55,152.72,121.34,-78.74,-67.21,2.35,4.72,-5.50
203283,220887.21,-1.93,10.17,-0.92,-195.55,-92.36,-22.52,7.23,4.03,-1.56
203703,212084.13,-132.12,109.89,155.13,120.21,-81.66,-72.58,2.28,4.94,-6.03
203717,212084.13,-131.53,96.20,125.27,127.49,-69.97,-76.67,2.65,4.85,-6.43
205844,223728.44,-2.30,8.16,-5.10,-175.16,-92.49,38.17,5.97,4.09,-2.14
206663,154311.66,-3.17,9.65,0.67,-211.86,-42.71,-21.62,6.45,4.08,-1.49
206713,159990.33,5.95,8.51,-0.88,-179.65,42.76,-1.65,6.82,4.05,-1.57
213456,212084.13,-169.13,143.61,108.54,106.23,-93.59,-69.54,2.62,4.61,-4.99
213958,165834.10,9.42,-3.56,1.25,74.19,177.02,-26.00,6.21,4.10,-1.70
214367,213047.90,17.93,-1.18,2.59,-150.78,89.38,-121.36,6.14,4.06,-2.49
216185,101659.98,-12.04,1.30,2.04,75.56,-189.07,23.70,5.84,4.06,-1.79
216540,84651.34,7.14,7.67,0.56,-163.46,115.37,-10.09,7.15,4.03,-1.55
